result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein,2019,3.89,11/25/22 16:42:05,3.89,11/25/22 15:54:07,False,0.0
Code Vein Deluxe Edition,2019,9.88,11/25/22 16:42:05,9.88,11/25/22 15:54:07,False,0.0
Dragon Ball Z Kakarot,2020,7.06,11/25/22 16:42:07,7.06,11/25/22 15:54:09,False,0.0
Dragon Ball Z Kakarot Ultimate Edition,2020,22.06,11/25/22 16:42:07,22.06,11/25/22 15:54:09,False,0.0
Dragon Ball Z Kakarot Deluxe Edition,2020,14.83,11/25/22 16:42:07,14.83,11/25/22 15:54:09,False,0.0
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,18.45,11/25/22 16:42:09,18.45,11/25/22 15:54:12,False,0.0
Assassins Creed Valhalla Complete Edition,2022,49.23,11/25/22 16:42:11,49.23,11/25/22 15:54:16,False,0.0
Assassins Creed Valhalla Dawn Of Ragnarok,2022,12.94,11/25/22 16:42:11,12.94,11/25/22 15:54:16,False,0.0
Assassins Creed Valhalla Ragnarok Edition,2022,20.88,11/25/22 16:42:11,20.88,11/25/22 15:54:16,False,0.0
Assassins Creed Valhalla Deluxe Edition,2021,19.17,11/25/22 16:42:11,19.17,11/25/22 15:54:16,False,0.0
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,17.66,11/25/22 16:42:11,17.66,11/25/22 15:54:16,False,0.0
Assassins Creed Valhalla,2020,12.11,11/25/22 16:42:11,12.11,11/25/22 15:54:16,False,0.0
Assassins Creed Valhalla Ultimate Edition,2020,45.44,11/25/22 16:42:11,45.44,11/25/22 15:54:16,False,0.0
Assassins Creed Valhalla Gold Edition,2020,42.99,11/25/22 16:42:11,42.99,11/25/22 15:54:16,False,0.0
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,20.33,11/25/22 16:42:11,20.33,11/25/22 15:54:16,False,0.0
Azure Striker Gunvolt 3,2022,7.95,11/25/22 16:42:13,7.95,11/25/22 15:54:17,False,0.0
Azure Striker Gunvolt 2,2016,8.79,11/25/22 16:42:13,8.79,11/25/22 15:54:17,False,0.0
Azure Striker Gunvolt,2014,4.92,11/25/22 16:42:13,4.92,11/25/22 15:54:17,False,0.0
Batman Arkham Collection,2018,9.84,11/25/22 16:42:15,9.84,11/25/22 15:54:20,False,0.0
Bayonetta Vanquish 10Th Anniversary Bundle,2020,9.08,11/25/22 16:42:17,9.08,11/25/22 15:54:22,False,0.0
Bayonetta,2009,6.06,11/25/22 16:42:17,6.06,11/25/22 15:54:22,False,0.0
Forza Horizon 5 Hot Wheels,2022,17.17,11/25/22 16:42:19,17.17,11/25/22 15:54:24,False,0.0
Forza Horizon 5,2021,23.42,11/25/22 16:42:19,23.42,11/25/22 15:54:24,False,0.0
Forza Horizon 5 Deluxe Edition,2021,38.19,11/25/22 16:42:19,38.19,11/25/22 15:54:24,False,0.0
Forza Horizon 5 Premium Edition,2021,29.04,11/25/22 16:42:19,29.04,11/25/22 15:54:24,False,0.0
Gunvolt Chronicles Luminous Avenger Ix 2,2022,14.05,11/25/22 16:42:20,14.05,11/25/22 15:54:26,False,0.0
Gods Monsters,2020,6.97,11/25/22 16:42:22,6.97,11/25/22 15:54:28,False,0.0
